Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
19,455,-0.05029296875,-0.269287109375,-0.13232421875,0.9525992710216455
20,456,0.7379150390625,-0.3509521484375,-0.31085205078125,0.4854739819574096
21,456,0.67987060546875,-0.42791748046875,-0.3369140625,0.49107179130813283
22,456,-0.136962890625,-0.32135009765625,-0.3983154296875,0.848127407764202
16,465,0.490966796875,-0.49737548828125,-0.20098876953125,0.6864202375699632
17,465,-0.14776611328125,-0.3143310546875,-0.4002685546875,0.8480249099838851
18,465,0.0391845703125,-0.26654052734375,-0.024169921875,0.9627234969654043
19,465,-0.06390380859375,-0.24932861328125,-0.143310546875,0.9556221183087228
20,469,0.73968505859375,-0.35089111328125,-0.30975341796875,0.4835227613774583
21,469,0.6812744140625,-0.42877197265625,-0.33984375,0.48633938129068144
22,469,-0.14776611328125,-0.3143310546875,-0.4002685546875,0.8480249099838851
16,473,0.4893798828125,-0.49566650390625,-0.19940185546875,0.6892466519609646
17,473,-0.14776611328125,-0.3143310546875,-0.4002685546875,0.8480249099838851
18,473,0.04791259765625,-0.2718505859375,-0.015380859375,0.9610229295267385
19,473,-0.06390380859375,-0.24932861328125,-0.143310546875,0.9556221183087228
20,480,0.74139404296875,-0.35247802734375,-0.30975341796875,0.47973631647706927
21,480,0.6824951171875,-0.43035888671875,-0.34393310546875,0.4803141290864141
22,480,-0.15509033203125,-0.3082275390625,-0.39947509765625,0.8493305713480713
16,484,0.4869384765625,-0.4942626953125,-0.19720458984375,0.6926078672740967
17,484,-0.15509033203125,-0.3082275390625,-0.39947509765625,0.8493305713480713
18,484,0.055908203125,-0.27691650390625,-0.00946044921875,0.959219486138732
19,484,-0.0865478515625,-0.22552490234375,-0.15765380859375,0.9574932190092224
20,490,0.7425537109375,-0.35577392578125,-0.311279296875,0.4744935188642211
21,490,0.68365478515625,-0.43218994140625,-0.3489990234375,0.47331561448984033
22,490,-0.159423828125,-0.304931640625,-0.3931884765625,0.8526450372049184
16,495,0.48455810546875,-0.49285888671875,-0.1951904296875,0.6958406831777654
17,495,-0.1602783203125,-0.305419921875,-0.3817138671875,0.8575103818359496
18,495,0.05987548828125,-0.28057861328125,-0.00384521484375,0.9579539560934325
19,495,-0.091796875,-0.22021484375,-0.1605224609375,0.9577636952124288
20,501,0.7432861328125,-0.36029052734375,-0.31439208984375,0.46783979578342905
21,501,0.68505859375,-0.43438720703125,-0.35418701171875,0.4653536700474215
22,501,-0.1602783203125,-0.305419921875,-0.3817138671875,0.8575103818359496
